t,u,w,q,theta,alpha_deg,V_mps,de_cmd_deg,saturated
1.4800,-10.0317,11.1975,2.7226,0.9859,13.5000,10.1093,-15.0000,1
1.4850,-10.1727,11.2838,2.7213,0.9995,13.5000,9.9683,-15.0000,1
1.4900,-10.3137,11.3689,2.7199,1.0131,13.5000,9.8273,-15.0000,1
1.4950,-10.4547,11.4527,2.7185,1.0267,13.5000,9.6863,-15.0000,1
1.5000,-10.5956,11.5353,2.7170,1.0403,13.5000,9.5453,-15.0000,1
1.5050,-10.7364,11.6168,2.7155,1.0539,13.5000,9.4044,-15.0000,1
1.5100,-10.8772,11.6970,2.7140,1.0675,13.5000,9.2636,-15.0000,1
1.5150,-11.0180,11.7761,2.7124,1.0810,13.5000,9.1228,-15.0000,1
1.5200,-11.1587,11.8541,2.7109,1.0946,13.5000,8.9820,-15.0000,1
1.5250,-11.2993,11.9310,2.7093,1.1081,13.5000,8.8413,-15.0000,1
1.5300,-11.4399,12.0068,2.7076,1.1217,13.5000,8.7007,-15.0000,1
1.5350,-11.5804,12.0815,2.7060,1.1352,13.5000,8.5601,-15.0000,1
1.5400,-11.7209,12.1552,2.7044,1.1488,13.5000,8.4196,-15.0000,1
1.5450,-11.8612,12.2279,2.7027,1.1623,13.5000,8.2791,-15.0000,1
1.5500,-12.0016,12.2995,2.7010,1.1758,13.5000,8.1388,-15.0000,1
1.5550,-12.1418,12.3702,2.6994,1.1893,13.5000,7.9984,-15.0000,1
1.5600,-12.2820,12.4399,2.6977,1.2028,13.5000,7.8582,-15.0000,1
1.5650,-12.4221,12.5087,2.6960,1.2163,13.5000,7.7180,-15.0000,1
1.5700,-12.5622,12.5765,2.6943,1.2298,13.5000,7.5779,-15.0000,1
1.5750,-12.7021,12.6435,2.6926,1.2432,13.5000,7.4378,-15.0000,1
1.5800,-12.8420,12.7095,2.6909,1.2567,13.5000,7.2979,-15.0000,1
